generator,generator_exponents,artifact_support_slot,source_support,target_support,support_pair_key,support_bindings_sha256
e0,"[1,0,0,0]",s27,"[16,2,9,2]","[14,2,9,14]","[[16,2,9,2],[14,2,9,14]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s28,"[16,7,29,14]","[14,7,29,17]","[[16,7,29,14],[14,7,29,17]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s29,"[16,8,34,17]","[14,8,34,2]","[[16,8,34,17],[14,8,34,2]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s30,"[16,15,6,17]","[14,15,6,2]","[[16,15,6,17],[14,15,6,2]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s31,"[16,16,28,14]","[14,16,28,17]","[[16,16,28,14],[14,16,28,17]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s32,"[16,17,10,17]","[14,17,10,2]","[[16,17,10,17],[14,17,10,2]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s33,"[17,1,9,7]","[8,1,9,8]","[[17,1,9,7],[8,1,9,8]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s34,"[17,2,5,7]","[8,2,5,8]","[[17,2,5,7],[8,2,5,8]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e1,"[0,1,0,0]",s00,"[1,1,5,1]","[16,1,33,2]","[[1,1,5,1],[16,1,33,2]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s01,"[1,2,33,1]","[16,2,9,2]","[[1,2,33,1],[16,2,9,2]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s02,"[1,8,10,15]","[16,8,34,17]","[[1,8,10,15],[16,8,34,17]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s03,"[1,15,34,15]","[16,15,6,17]","[[1,15,34,15],[16,15,6,17]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s04,"[1,16,29,16]","[16,16,28,14]","[[1,16,29,16],[16,16,28,14]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s05,"[1,17,6,15]","[16,17,10,17]","[[1,17,6,15],[16,17,10,17]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s06,"[2,1,5,16]","[14,1,33,14]","[[2,1,5,16],[14,1,33,14]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s07,"[2,2,33,16]","[14,2,9,14]","[[2,2,33,16],[14,2,9,14]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s08,"[2,8,10,1]","[14,8,34,2]","[[2,8,10,1],[14,8,34,2]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s09,"[2,15,34,1]","[14,15,6,2]","[[2,15,34,1],[14,15,6,2]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s10,"[2,16,29,15]","[14,16,28,17]","[[2,16,29,15],[14,16,28,17]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s11,"[2,17,6,1]","[14,17,10,2]","[[2,17,6,1],[14,17,10,2]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s12,"[7,1,33,17]","[8,1,9,8]","[[7,1,33,17],[8,1,9,8]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s13,"[7,2,9,17]","[8,2,5,8]","[[7,2,9,17],[8,2,5,8]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s14,"[7,8,34,14]","[8,8,6,7]","[[7,8,34,14],[8,8,6,7]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s15,"[7,15,6,14]","[8,15,10,7]","[[7,15,6,14],[8,15,10,7]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s16,"[7,17,10,14]","[8,17,34,7]","[[7,17,10,14],[8,17,34,7]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s17,"[14,1,33,14]","[17,1,9,7]","[[14,1,33,14],[17,1,9,7]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s18,"[14,2,9,14]","[17,2,5,7]","[[14,2,9,14],[17,2,5,7]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s19,"[14,7,29,17]","[17,7,28,8]","[[14,7,29,17],[17,7,28,8]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s20,"[15,8,6,8]","[1,8,10,15]","[[15,8,6,8],[1,8,10,15]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s21,"[15,14,29,7]","[1,14,28,16]","[[15,14,29,7],[1,14,28,16]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s22,"[15,15,10,8]","[1,15,34,15]","[[15,15,10,8],[1,15,34,15]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s23,"[15,17,34,8]","[1,17,6,15]","[[15,17,34,8],[1,17,6,15]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s24,"[16,7,29,14]","[15,7,28,7]","[[16,7,29,14],[15,7,28,7]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s25,"[16,8,34,17]","[15,8,6,8]","[[16,8,34,17],[15,8,6,8]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s26,"[16,15,6,17]","[15,15,10,8]","[[16,15,6,17],[15,15,10,8]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s27,"[16,17,10,17]","[15,17,34,8]","[[16,17,10,17],[15,17,34,8]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s28,"[17,1,9,7]","[2,1,5,16]","[[17,1,9,7],[2,1,5,16]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s29,"[17,2,5,7]","[2,2,33,16]","[[17,2,5,7],[2,2,33,16]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s30,"[17,14,29,8]","[2,14,28,15]","[[17,14,29,8],[2,14,28,15]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
