generator,generator_exponents,output_directory,preflight_available,preflight_is_prerequisite,artifact_status,artifact_loaded,internal_files_verified,source_binding,support_ids_bound,support_binding_count,support_bindings_sha256,ready_for_common_basis_rebase,common_basis_rebased,numeric_edge_matrix_emitted,validation_error
e0,"[1,0,0,0]",/Users/brianross/Documents/emfields/results/section12_instantiation/cm_bridge_hs_rank2_k_generator_tree_contraction,False,False,LOADED_SUPPORT_IDS_BOUND,True,True,LEGACY_CURRENT_SOURCE_MISMATCH,True,35,b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b,True,False,False,
e1,"[0,1,0,0]",/Users/brianross/Documents/emfields/results/section12_instantiation/cm_bridge_hs_rank2_k_generator_tree_contraction_e1,True,False,LOADED_SUPPORT_IDS_BOUND,True,True,LEGACY_CURRENT_SOURCE_MISMATCH,True,31,f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18,True,False,False,
e2,"[0,0,1,0]",/Users/brianross/Documents/emfields/results/section12_instantiation/cm_bridge_hs_rank2_k_generator_tree_contraction_e2,True,False,LOADED_SUPPORT_IDS_BOUND,True,True,CURRENT_SOURCE_BOUND,True,35,3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad,True,False,False,
e3,"[0,0,0,1]",/Users/brianross/Documents/emfields/results/section12_instantiation/cm_bridge_hs_rank2_k_generator_tree_contraction_e3,True,False,LOADED_SUPPORT_IDS_BOUND,True,True,CURRENT_SOURCE_BOUND,True,32,8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658,True,False,False,
